"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_714","TraesCS5B02G341700","TraesCS5B02G341600",823,0.07,0.0442611850331737,"","",0
"Pair_715","TraesCS5B02G345900","TraesCS5B02G345800",421,0.35,0,"","",0
"Pair_716","TraesCS5B02G382900","TraesCS5B02G382800",268,0.12,0.000381928944871849,"","",0
"Pair_717","TraesCS5B02G387600","TraesCS5B02G387500",708,0.61,0,"4v23 ","4v23 DH ",2
"Pair_718","TraesCS5B02G392000","TraesCS5B02G391900",398,0.44,0,"","",0
"Pair_719","TraesCS5B02G392400","TraesCS5B02G392300",287,0.07,0.0498915847072257,"4v23 ","",0
"Pair_72","TraesCS1B02G404900","TraesCS1B02G404800",661,0.05,0.178815040377913,"","",0
"Pair_720","TraesCS5B02G394500","TraesCS5B02G394400",261,0.36,0,"4v23 ","4v23 DH ",2
"Pair_721","TraesCS5B02G395700","TraesCS5B02G395600",774,0.22,8.55847251067987e-12,"DH ","",0
"Pair_722","TraesCS5B02G405700","TraesCS5B02G405600",237,0.59,0,"10v14 4v23 ","",0
"Pair_723","TraesCS5B02G414500","TraesCS5B02G414400",109,0.93,0,"4v23 ","",0
"Pair_724","TraesCS5B02G422300","TraesCS5B02G422200",278,0.09,0.00576569309723966,"","",0
"Pair_725","TraesCS5B02G424400","TraesCS5B02G424300",448,0.52,0,"4v23 DH ","DH ",2
"Pair_726","TraesCS5B02G425300","TraesCS5B02G425200",266,0.2,1.15134568545727e-10,"4v23 ","4v23 ",1
"Pair_727","TraesCS5B02G426100","TraesCS5B02G426000",165,0.71,0,"4v23 ","4v23 ",1
"Pair_728","TraesCS5B02G428600","TraesCS5B02G428500",297,0.18,9.08195522826687e-09,"MS 4v23 DH ","4v23 ",3
"Pair_729","TraesCS5B02G436700","TraesCS5B02G436600",416,0.84,0,"","",0
"Pair_73","TraesCS1B02G417000","TraesCS1B02G416900",504,-0.03,0.412825455811671,"4v23 ","",0
